step,cd_proxy,cl_proxy,mass,effective_re,tau,probe_vorticity,max_speed
273,7.3229320551,-0.0186916718,0.9984944431,100.000000,0.54628571,0.0000021860,0.0855760325
275,7.3004266070,-0.0234790103,0.9985559186,100.000000,0.54628571,0.0000021413,0.0855573287
277,7.3220081163,-0.0282012415,0.9986284061,100.000000,0.54628571,0.0000023545,0.0855807457
279,7.3803803533,-0.0328380221,0.9987110874,100.000000,0.54628571,0.0000026574,0.0856446078
281,7.4595003599,-0.0373632640,0.9988023377,100.000000,0.54628571,0.0000028652,0.0857346897
283,7.5368759546,-0.0417401736,0.9988998141,100.000000,0.54628571,0.0000029207,0.0858270980
285,7.5893405302,-0.0459225474,0.9990007436,100.000000,0.54628571,0.0000028816,0.0858949139
287,7.6000989738,-0.0498661157,0.9991024186,100.000000,0.54628571,0.0000028147,0.0859172348
289,7.5637363450,-0.0535443877,0.9992027627,100.000000,0.54628571,0.0000027388,0.0858870902
291,7.4867050738,-0.0569540922,0.9993006864,100.000000,0.54628571,0.0000026577,0.0858133913
293,7.3831815752,-0.0601002421,0.9993960191,100.000000,0.54628571,0.0000026031,0.0857148153
295,7.2686280004,-0.0629705108,0.9994890947,100.000000,0.54628571,0.0000026196,0.0856089913
297,7.1543497783,-0.0655231371,0.9995803147,100.000000,0.54628571,0.0000027140,0.0855037424
299,7.0453324227,-0.0677037413,0.9996699619,100.000000,0.54628571,0.0000028373,0.0853954728
301,6.9415189805,-0.0694807000,0.9997582670,100.000000,0.54628571,0.0000029208,0.0852746805
303,6.8408525567,-0.0708712620,0.9998455185,100.000000,0.54628571,0.0000029282,0.0851341407
305,6.7418807661,-0.0719381470,0.9999320353,100.000000,0.54628571,0.0000028755,0.0850196621
307,6.6446373522,-0.0727610477,1.0000180112,100.000000,0.54628571,0.0000028115,0.0848964412
309,6.5500720249,-0.0734064438,1.0001033798,100.000000,0.54628571,0.0000027829,0.0847551967
311,6.4592315860,-0.0739170547,1.0001878131,100.000000,0.54628571,0.0000028069,0.0846024183
313,6.3730399331,-0.0743233824,1.0002708430,100.000000,0.54628571,0.0000028671,0.0844463129
315,6.2924934473,-0.0746611431,1.0003520123,100.000000,0.54628571,0.0000029287,0.0842929767
317,6.2185761518,-0.0749746210,1.0004309788,100.000000,0.54628571,0.0000029641,0.0841455384
319,6.1516662371,-0.0752994936,1.0005075462,100.000000,0.54628571,0.0000029686,0.0840052051
321,6.0909858381,-0.0756380100,1.0005816382,100.000000,0.54628571,0.0000029577,0.0838726182
323,6.0347794139,-0.0759474419,1.0006532494,100.000000,0.54628571,0.0000029502,0.0837484350
325,5.9812359180,-0.0761524546,1.0007224036,100.000000,0.54628571,0.0000029561,0.0836331860
327,5.9294587511,-0.0761736948,1.0007891303,100.000000,0.54628571,0.0000029742,0.0835270642
329,5.8797690005,-0.0759543071,1.0008534544,100.000000,0.54628571,0.0000029984,0.0834300278
331,5.8332457694,-0.0754695041,1.0009153935,100.000000,0.54628571,0.0000030225,0.0833420054
